epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0092,3.47164,4.44455,4.09234,0.00058,0.10417,0.00137,0.00028,3.3909,4.22857,4.02209,0.00033033,0.00033033,0.00033033
2,55.3942,3.01297,4.04034,3.51736,0.00895,0.37565,0.00989,0.00245,2.99879,4.14793,3.5861,0.000657093,0.000657093,0.000657093
3,67.8584,2.71344,3.64246,3.10186,0.38106,0.06863,0.09689,0.0247,2.69254,4.07929,2.98172,0.000977256,0.000977256,0.000977256
4,80.0584,2.49549,3.2915,2.8522,0.4797,0.10469,0.15791,0.0467,2.68533,3.15081,3.04386,0.0009703,0.0009703,0.0009703
5,95.3294,2.32572,3.00378,2.65291,0.15646,0.31365,0.17862,0.07481,2.38654,3.36853,2.81319,0.0009604,0.0009604,0.0009604
6,107.488,2.17997,2.77542,2.52993,0.18756,0.34997,0.24281,0.09,2.33667,2.49768,2.72599,0.0009505,0.0009505,0.0009505
7,118.572,2.04775,2.57727,2.42559,0.40745,0.3269,0.3005,0.12129,2.1929,2.475,2.68412,0.0009406,0.0009406,0.0009406
8,132.731,1.95434,2.44458,2.34777,0.40592,0.50433,0.39596,0.15157,2.10088,2.19383,2.49043,0.0009307,0.0009307,0.0009307
9,144.975,1.90476,2.34139,2.26818,0.50863,0.44729,0.46502,0.20114,1.86899,2.07766,2.36718,0.0009208,0.0009208,0.0009208
10,157.024,1.85766,2.27473,2.23405,0.63521,0.51217,0.50522,0.20656,2.03208,2.02096,2.47256,0.0009109,0.0009109,0.0009109
11,170.639,1.82554,2.16949,2.20293,0.67667,0.48149,0.53524,0.24897,1.88124,1.94244,2.28476,0.000901,0.000901,0.000901
12,183.001,1.77847,2.11325,2.14814,0.4039,0.66711,0.50405,0.21502,1.90047,1.8201,2.29691,0.0008911,0.0008911,0.0008911
13,195.471,1.77644,2.07575,2.13471,0.49331,0.4817,0.48427,0.20782,1.94078,1.89587,2.27718,0.0008812,0.0008812,0.0008812
14,210.849,1.73918,2.02211,2.09477,0.29544,0.49694,0.51738,0.2445,1.73931,1.80443,2.12381,0.0008713,0.0008713,0.0008713
15,223.261,1.73542,1.98705,2.08554,0.41162,0.60088,0.53294,0.22229,1.79275,1.80801,2.19734,0.0008614,0.0008614,0.0008614
16,235.593,1.70195,1.94576,2.05892,0.65564,0.57898,0.62492,0.27894,1.7235,1.82344,2.15339,0.0008515,0.0008515,0.0008515
17,251.176,1.6969,1.9373,2.05214,0.61744,0.57128,0.57555,0.28871,1.71092,1.65121,2.07231,0.0008416,0.0008416,0.0008416
18,263.642,1.67386,1.90025,2.02681,0.58222,0.59511,0.59947,0.27942,1.68077,1.59578,2.01929,0.0008317,0.0008317,0.0008317
19,275.989,1.67571,1.90441,2.0367,0.53892,0.40095,0.51071,0.27298,1.83814,1.93205,2.21476,0.0008218,0.0008218,0.0008218
20,291.278,1.66959,1.87123,2.01051,0.5415,0.62574,0.61399,0.28466,1.67187,1.56147,2.04524,0.0008119,0.0008119,0.0008119
21,303.699,1.63903,1.80943,1.98554,0.79112,0.50246,0.55744,0.28615,1.72868,1.58717,2.03711,0.000802,0.000802,0.000802
22,316.365,1.64465,1.83241,1.97829,0.60555,0.62715,0.63642,0.30575,1.71619,1.70525,2.03799,0.0007921,0.0007921,0.0007921
23,331.681,1.62641,1.78311,1.9722,0.59413,0.63892,0.62427,0.27452,1.78806,1.54479,2.05888,0.0007822,0.0007822,0.0007822
24,344.033,1.63113,1.83064,1.96192,0.66043,0.56829,0.64103,0.31755,1.682,1.57307,2.03308,0.0007723,0.0007723,0.0007723
25,356.413,1.62285,1.78879,1.94753,0.63099,0.60372,0.63279,0.34054,1.63243,1.50172,1.96407,0.0007624,0.0007624,0.0007624
26,371.926,1.60152,1.74642,1.9341,0.67576,0.60558,0.65244,0.31757,1.59196,1.49412,1.90077,0.0007525,0.0007525,0.0007525
27,384.34,1.58993,1.72938,1.93803,0.60304,0.51996,0.63825,0.3345,1.77181,1.64991,2.1908,0.0007426,0.0007426,0.0007426
28,396.799,1.55864,1.70023,1.90212,0.8005,0.61461,0.75349,0.36224,1.63116,1.41079,1.9435,0.0007327,0.0007327,0.0007327
29,412.181,1.57026,1.70852,1.90647,0.74998,0.37746,0.4979,0.23386,1.96959,1.93965,2.26779,0.0007228,0.0007228,0.0007228
30,424.154,1.56807,1.71655,1.91404,0.80219,0.60843,0.67858,0.33009,1.68774,1.48356,1.95395,0.0007129,0.0007129,0.0007129
31,436.404,1.57145,1.68641,1.90093,0.78684,0.60192,0.67899,0.39966,1.54813,1.43899,1.91622,0.000703,0.000703,0.000703
